"LAKENUMBER_TO_USE"	"Lac"	"Mesure"	"date"	"Green_Algae_ug.L"	"Bluegreen_ug.L"	"Diatoms_ug.L"	"Cryptophyta_ug.L"	"Yellow.sub_ug.L"	"Total_conc_ug.L"	"treatment"	"Year"	"Month"	"Day"
14	"LAC 14"	"Mesure 1"	2016-04-14 16:54:00	4.31666666666667	0	5.38	0	0.616666666666667	9.69333333333333	"No perch - Phosphorus"	2016	4	14
14	"LAC 14"	"Mesure 1"	2016-03-22 15:28:40	5.50666666666667	0	8.17333333333333	0	1.10333333333333	13.68	"No perch - Phosphorus"	2016	3	22
14	"LAC 14"	"Mesure 1"	2016-09-22 14:48:20	82.29	7.03	0	0	2.58333333333333	89.32	"No perch - Phosphorus"	2016	9	22
14	"LAC 14"	"Mesure 1"	2016-08-23 15:07:20	22.15	1.95666666666667	0	0	1.33	24.1066666666667	"No perch - Phosphorus"	2016	8	23
14	"LAC 14"	"Mesure 1"	2016-05-17 16:18:00	4.84666666666667	0.00333333333333333	0.543333333333333	0.00666666666666667	0.713333333333333	5.4	"No perch - Phosphorus"	2016	5	17
14	"LAC 14"	"Mesure 1"	2016-11-21 17:33:20	101.36	0	0	0	4.27	101.36	"No perch - Phosphorus"	2016	11	21
14	"LAC 14"	"Mesure 1"	2016-10-18 15:40:20	80.3866666666667	0	0	0	2.7	80.3866666666667	"No perch - Phosphorus"	2016	10	18
14	"LAC 14"	"Mesure 1"	2016-12-15 18:15:00	94.4333333333333	0	0.846666666666667	0	3.35666666666667	95.2833333333333	"No perch - Phosphorus"	2016	12	15
15	"LAC 15"	"Mesure 1"	2016-06-20 16:14:40	0.926666666666667	0.633333333333333	1.06333333333333	0	0.713333333333333	2.62333333333333	"Perch - Control"	2016	6	20
15	"LAC 15"	"Mesure 1"	2016-07-20 15:30:00	1.37333333333333	0	1.6	0	0.736666666666667	2.96666666666667	"Perch - Control"	2016	7	20
15	"LAC 15"	"Mesure 1"	2016-05-17 16:20:40	0.983333333333333	0.0966666666666667	0.8	0.153333333333333	0.653333333333333	2.03333333333333	"Perch - Control"	2016	5	17
15	"LAC 15"	"Mesure 1"	2016-04-14 16:57:00	4.57	0	5.57	0	0.766666666666667	10.14	"Perch - Control"	2016	4	14
15	"LAC 15"	"Mesure 1"	2016-08-23 15:11:00	25.7366666666667	0	0.406666666666667	0	1.28666666666667	26.1466666666667	"Perch - Control"	2016	8	23
15	"LAC 15"	"Mesure 1"	2016-10-18 15:42:40	11.1033333333333	12.2266666666667	7.92	0	1.72333333333333	31.2533333333333	"Perch - Control"	2016	10	18
15	"LAC 15"	"Mesure 1"	2016-12-15 18:19:00	43.46	12.5566666666667	9.09666666666667	0	1.83333333333333	65.11	"Perch - Control"	2016	12	15
15	"LAC 15"	"Mesure 1"	2016-01-13 17:45:00	12.8933333333333	0	10.8933333333333	0	0	23.7866666666667	"Perch - Control"	2016	1	13
15	"LAC 15"	"Mesure 1"	2016-09-22 14:51:00	44.5333333333333	0	3.20333333333333	0	1.61333333333333	47.7366666666667	"Perch - Control"	2016	9	22
15	"LAC 15"	"Mesure 1"	2016-02-17 16:33:40	5.53666666666667	0	2.96333333333333	0	0.28	8.50666666666667	"Perch - Control"	2016	2	17
15	"LAC 15"	"Mesure 1"	2016-03-22 15:31:00	3.48666666666667	0	4.27	0	0.72	7.76	"Perch - Control"	2016	3	22
15	"LAC 15"	"Mesure 1"	2016-11-21 17:38:00	31.8433333333333	10.86	2.92	0	2.22333333333333	45.6233333333333	"Perch - Control"	2016	11	21
16	"LAC 16"	"Mesure 1"	2016-06-20 16:21:20	0.986666666666667	0.136666666666667	1.28666666666667	0	0.626666666666667	2.41	"Perch - Phosphorus"	2016	6	20
